Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
11/1/2015,            22°C,            25°C,            16 Km/h,            N/A,            17mm,            N/A,            N/A,            ,            Mưa
11/2/2015,            22°C,            27°C,            13 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
11/3/2015,            22°C,            29°C,            15 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
11/4/2015,            23°C,            30°C,            N/A,            N/A,"            20,3mm",            N/A,            N/A,            ,            Mưa
11/5/2015,            23°C,            30°C,            21 Km/h,            N/A,"            17,2mm",            N/A,            N/A,            ,            Mưa
11/6/2015,            23°C,            29°C,            11 Km/h,            N/A,"            9,1mm",            N/A,            N/A,            ,            Mưa
11/7/2015,            23°C,            29°C,            15 Km/h,            N/A,"            38,1mm",            N/A,            N/A,            ,            Mưa
11/8/2015,            24°C,            30°C,            16 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/9/2015,            24°C,            32°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/10/2015,            24°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/11/2015,            24°C,            30°C,            21 Km/h,            N/A,"            20,5mm",            N/A,            N/A,            ,            Mưa
11/12/2015,            24°C,            28°C,            16 Km/h,            N/A,            52mm,            N/A,            N/A,            ,            Giông bãoMưa
11/13/2015,            24°C,            30°C,            21 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
11/14/2015,            24°C,            29°C,            16 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
11/15/2015,            23°C,            27°C,            15 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
11/16/2015,            24°C,            30°C,            N/A,            N/A,"            1,5mm",            N/A,            N/A,            ,            Mưa
11/17/2015,            22°C,            28°C,            29 Km/h,            N/A,"            59,9mm",            N/A,            N/A,            ,            Mưa
11/18/2015,            23°C,            25°C,            9 Km/h,            N/A,"            5,8mm",            N/A,            N/A,            ,            Mưa
11/19/2015,            22°C,            29°C,            21 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Sương mùMưa
11/20/2015,            23°C,            30°C,            15 Km/h,            N/A,"            5,3mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/21/2015,            24°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/22/2015,            24°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/23/2015,            25°C,            31°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/24/2015,            23°C,            30°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/25/2015,            23°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/26/2015,            23°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Giông bãoMưa
11/27/2015,            23°C,            29°C,            N/A,            N/A,"            45,9mm",            N/A,            N/A,            ,            Mưa
11/28/2015,            23°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/29/2015,            24°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
11/30/2015,            23°C,            31°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/1/2015,            22°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/2/2015,            21°C,            31°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/3/2015,            22°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/4/2015,            22°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/5/2015,            22°C,            29°C,            41 Km/h,            57 Km/h,"            0,2mm",            N/A,            N/A,            ,            Mưa
12/6/2015,            20°C,            26°C,            16 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
12/7/2015,            21°C,            28°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/8/2015,            21°C,            25°C,            15 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
12/9/2015,            21°C,            26°C,            11 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
12/10/2015,            20°C,            29°C,            15 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/11/2015,            21°C,            29°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/12/2015,            21°C,            24°C,            11 Km/h,            N/A,            3mm,            N/A,            N/A,            ,            Mưa
12/13/2015,            22°C,            28°C,            21 Km/h,            N/A,"            12,1mm",            N/A,            N/A,            ,            Mưa
12/14/2015,            23°C,            28°C,            11 Km/h,            N/A,"            10,1mm",            N/A,            N/A,            ,            Mưa
12/15/2015,            24°C,            29°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/16/2015,            23°C,            30°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/17/2015,            22°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/18/2015,            22°C,            30°C,            24 Km/h,            39 Km/h,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/19/2015,            22°C,            28°C,            24 Km/h,            39 Km/h,            2mm,            N/A,            N/A,            ,            Mưa
12/20/2015,            23°C,            29°C,            21 Km/h,            N/A,"            2,5mm",            N/A,            N/A,            ,            Mưa
12/21/2015,            24°C,            30°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/22/2015,            24°C,            29°C,            26 Km/h,            39 Km/h,"            0,5mm",            N/A,            N/A,            ,            Mưa
12/23/2015,            21°C,            26°C,            35 Km/h,            52 Km/h,"            1,5mm",            N/A,            N/A,            ,            Mưa
12/24/2015,            20°C,            25°C,            22 Km/h,            N/A,            2mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
12/25/2015,            20°C,            26°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/26/2015,            22°C,            27°C,            21 Km/h,            N/A,"            0,7mm",            N/A,            N/A,            ,            Mưa
12/27/2015,            22°C,            27°C,            16 Km/h,            N/A,"            1,5mm",            N/A,            N/A,            ,            Mưa
12/28/2015,            23°C,            28°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/29/2015,            22°C,            29°C,            28 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
12/30/2015,            19°C,            23°C,            41 Km/h,            59 Km/h,"            22,6mm",            N/A,            N/A,            ,            Mưa
